"Drift.Time..days.","NA_11_HP","Column1","Column2","NA_11_H","Column3","Column4","NA_11_M","Column5","Column6","NA_11_L","Column7","Column8","Alt2a_11_M","Column9","Column10","NA_75_HP","Column11","Column12","NA_75_H","Column13","Column14","NA_75_M","Column15","Column16","NA_75_L","Column17","Column18","NA_75_LF","Column19","Column20"
NA,"ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained"
2.625,"3.26740362948547","58.2368397058072","1","3.25139762897936","57.8608947902264","1","3.10900215608546","54.5214744377805","1","2.93156640129013","50.3785583312894","1","3.08123671332747","51.2509805842945","1","3.2495330549269","58.2939834781879","1","3.21599020436321","57.4753543632307","1","3.09918210355118","54.6385883011598","1","2.94995195757816","51.0372692500523","1","2.89306151811792","49.6694148617671","1"
2.75,"3.33805148069137","61.5748911864986","1","3.32257403005258","61.183468820279","1","3.18113566365678","57.7026101014373","1","3.00526736884649","53.3838257001359","1","3.16234001127015","54.4133205955646","1","3.30211855036566","61.5961020285535","1","3.26937406712308","60.7447284303537","1","3.15528612309231","57.7938744242521","1","3.00942692062974","54.046696170682","1","2.95379856700347","52.6232134287706","1"
2.875,"3.34846316695255","64.9233543534512","1","3.33432855759069","64.5177973778697","1","3.18690197427614","60.8895120757134","1","3.00573306918724","56.3895587693232","1","3.16826015824416","57.5815807538088","1","3.3251758722556","64.9212779008091","1","3.29299062213339","64.0377190524871","1","3.18081844514584","60.9746928693979","1","3.03733232906219","57.0840284997442","1","2.98259562206019","55.6058090508308","1"
3,"3.31485254346378","68.2382068969149","1","3.30324799512022","67.82104537299","1","3.13914262688169","64.0286547025951","1","2.94173403379546","59.3312928031186","1","3.10954032146048","60.6911210752693","1","3.31425322163417","68.2355311224433","1","3.28263076602838","67.3203498185155","1","3.17233500969301","64.1470278790909","1","3.03118955720131","60.1152180569455","1","2.97735385353397","58.5831629043648","1"
3.125,"3.29035837265555","71.5285652695705","1","3.28046336468659","71.1015087376766","1","3.09640876405948","67.1250634666546","1","2.87914102815656","62.2104338312752","1","3.06219995798988","63.7533210332591","1","3.30390990522329","71.5394410276666","1","3.27298625969179","70.5933360782073","1","3.16423817234225","67.3112660514332","1","3.02507418381316","63.1402922407587","1","2.97236444047197","61.5555273448368","1"
3.25,"3.29095610791928","74.8195213774898","0.99999999999959","3.28215233769657","74.3836610753731","0.999999999999589","3.08603902470168","70.2111024913563","0.999999999999589","2.85678176500794","65.0672155962831","0.999999999999589","3.06923710098195","66.8225581342411","0.999999999999595","3.29873192836173","74.8381729560283","1","3.26904232560053","73.8623784038078","1","3.15870187681065","70.4699679282438","1","3.01789699473835","66.158189235497","1","2.96720673545508","64.5227340802918","1"
3.375,"3.3270786916256","78.1466000691154","0.999999999915112","3.31922785882091","77.702888934194","0.99999999991499","3.12056036390447","73.3316628552608","0.99999999991499","2.88899608705099","67.9562116833341","0.99999999991499","3.13440747506466","69.9569656093058","0.999999999916563","3.34174549363335","78.1799184496617","1","3.31470923038356","77.1770876341914","1","3.19355311764424","73.6635210458881","1","3.04021549328927","69.1984047287863","1","2.99401660062066","67.5167506809125","1"
3.5,"3.40081113215541","81.5474112012708","0.999999993121255","3.39312770402049","81.0960166382145","0.99999999311082","3.19658538691145","76.5282482421722","0.99999999311082","2.96751921087724","70.9237308942114","0.99999999311082","3.23804368275428","73.19500929206","0.999999993242805","3.39505871118479","81.5749771608465","1","3.37247342306363","80.549561057255","1","3.2290913625029","76.892612408391","1","3.05016003467999","72.2485647634663","1","3.011487119063","70.5282377999755","1"
3.625,"3.47932024607953","85.0267314473503","0.999999740916699","3.47182184400659","84.5678384822211","0.999999740498144","3.27893542512893","79.8071836673011","0.999999740498144","3.0539199792247","73.9776508734361","0.999999740498144","3.34006498570548","76.5350742777655","0.999999745104709","3.45071363413186","85.0256907949783","0.999999999999985","3.43304614788955","83.9826072051446","0.999999999999985","3.26684738821876","80.1594597966097","0.999999999999985","3.0613439394679","75.3099087029342","0.999999999999985","3.03102012874218","73.5592579287177","0.999999999999985"
3.75,"3.54253213282369","88.569263580174","0.999994837218302","3.53530004659911","88.1031385288202","0.999994830006704","3.3488972225641","83.1560808898653","0.999994830006704","3.13105909168381","77.1087099651199","0.999994830006704","3.43724872758302","79.9723230053485","0.99999491266528","3.52072350792435","88.5464143029027","0.999999999997611","3.50830532180808","87.4909125269526","0.999999999997611","3.32521637740515","83.4846761740149","0.999999999997611","3.10013789120649","78.4100465941407","0.999999999997611","3.07873118071219","76.6379891094299","0.999999999997611"
