"Drift.Time..days.","Alt1a_11_H","Column7","Column8","Alt1a_11_M","Column9","Column10","Alt1a_11_L","Column11","Column12","Alt1a_85_H","Column19","Column20","Alt1a_85_M","Column21","Column22","Alt1a_85_L","Column23","Column24","Alt1a_75_H","Column43","Column44","Alt1a_75_M","Column45","Column46","Alt1a_75_L","Column47","Column48","Alt1a_68_H","Column49","Column50","Alt1a_68_M","Column51","Column52","Alt1a_68_L","Column53","Column54"
NA,"ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained"
4.125,"3.52492255242247","99.7864768281867","0.999908492115263","3.14744815407644","79.8949635524962","0.999908492115263","2.94838164235678","75.42155914161","0.999908492115263","2.38047423089077","64.4588309950548","0.999999999999997","2.29377782003217","61.1382011460061","0.999999999999997","2.19585541741931","57.4004360947305","0.999999999999997","3.12923685447826","93.0958572694087","0.99999999713816","2.94451768869253","87.5880244750668","0.99999999713816","2.74436778632169","82.8491138375319","0.99999999713816","2.47047748135046","70.8275375996907","0.999999999906117","2.263773623336","65.8637016049321","0.999999999906117","2.1410566617759","64.5406974795396","0.999999999910646"
4.25,"3.52263682925578","103.309113657443","0.999460187452835","3.14886483058437","83.0438283830806","0.999460187452835","2.95169528997481","78.3732544315848","0.999460187452835","2.37953855378233","66.8383695488371","0.999999999999672","2.27871788437535","63.4169190303814","0.999999999999672","2.16489989775782","59.5653359924883","0.999999999999672","3.0893667772181","96.1852240466268","0.999999943221433","2.91941271144488","90.5074371865117","0.999999943221433","2.71418443717455","85.5632982747065","0.999999943221433","2.53967543192053","73.3672130316113","0.999999995608103","2.30992797967171","68.1736295846038","0.999999995608103","2.17362298744102","66.7143204669806","0.999999995813115"
4.375,"3.53955350976081","106.848667167203","0.997655376005799","3.17014902292213","86.2139774060027","0.997655376005799","2.97526298787357","81.3485174194584","0.997655376005799","2.42446470466126","69.2628342534984","0.999999999979224","2.30569555801533","65.7226145883968","0.99999999997922","2.17164335264388","61.7369793451322","0.99999999997922","3.05584730964612","99.2410713562729","0.999999263321188","2.89114812533492","93.3985853118466","0.999999263321188","2.68761614330189","88.2509144180084","0.999999263321188","2.59989728482943","75.9671103164407","0.999999879773624","2.35796960899546","70.5315991935992","0.999999879773624","2.20636991270751","68.9206903796882","0.999999885124264"
4.5,"3.58206079104333","110.430727958247","0.99213729433829","3.21711097367246","89.4310883796752","0.99213729433829","3.0245740393984","84.3730914588568","0.99213729433829","2.49652975183918","71.7593640053376","0.999999999215521","2.36162303576895","68.0842376241657","0.999999999215391","2.20929875528218","63.9462781004144","0.999999999215391","3.07735038760741","102.31842174388","0.999993392001635","2.91625712625905","96.3148424381057","0.999993392001635","2.71616502351303","90.9670794415214","0.999993392001635","2.6435621047847","78.6106724212254","0.999997942941979","2.39884742049432","72.9304466140936","0.999997942941979","2.23318414645673","71.1538745261449","0.999998029602231"
4.625,"3.63426223925326","114.0649901975","0.978800850599985","3.27325080290287","92.704339182578","0.978800850599985","3.08281646447233","87.4559079233291","0.978800850599985","2.57186729847474","74.3312313038123","0.999999981126225","2.4271792784905","70.5114169026562","0.999999981123465","2.2636387897853","66.2099168901997","0.999999981123465","3.14909953249827","105.467521276379","0.999956979775347","2.99092794502904","99.3057703831347","0.999956979775347","2.79405234943093","93.7611317909523","0.999956979775347","2.68900514759228","81.2996775688177","0.999976735335966","2.44554518236181","75.3759917964554","0.999976735335966","2.26629707979508","73.42017160594","0.999977661071482"
4.75,"3.67435067118112","117.739340868681","0.952428603481257","3.31696513285668","96.0213043154347","0.952428603481257","3.1284867635622","90.5843946868913","0.952428603481257","2.61933705011745","76.9505683539298","0.999999694460067","2.47223405596385","72.9836509586201","0.999999694420939","2.30568477314182","68.5156016633415","0.999999694420939","3.21764878163718","108.685170058016","0.999787894497626","3.06270379827577","102.368474181411","0.999787894497626","2.8695290763242","96.6306608672765","0.999787894497626","2.73922182875402","84.0388993975717","0.999817391641096","2.49871684622418","77.8747086426796","0.999817391641096","2.30493625906247","75.7251078650024","0.999824198733664"
4.875,"3.6896622139603","121.429003082641","0.908453573791192","3.33604100946991","99.3573453249046","0.908453573791192","3.14959228693234","93.7339869738237","0.908453573791192","2.59285614805593","79.5434245019857","0.999996523185796","2.44752172320615","75.4311726818262","0.999996522795203","2.28271013415343","70.7983117974949","0.999996522795203","3.24185053231501","111.927020590331","0.999177861456068","3.08919377329101","105.457667954702","0.999177861456068","2.89863464700761","99.5292955142841","0.999177861456068","2.76469472943503","86.8035941270067","0.998962453694377","2.5263649368049","80.4010735794844","0.998962453694377","2.31778471491145","78.0428925799139","0.998997644849469"
5,"3.69107090558896","125.12007398823","0.844974653609165","3.3412204315831","102.698565756488","0.844974653609165","3.15680640336605","96.8907933771897","0.844974653609165","2.51758238898772","82.0610068909734","0.999971143922493","2.37575343470446","77.8069261165307","0.999971141092958","2.21474911621265","73.0130609137076","0.999971141092958","3.21553197984061","115.142552570171","0.997410923416349","3.06536142442402","108.523029379126","0.997410923416349","2.8776826561876","102.406978170472","0.997410923416349","2.74345593202709","89.5470500590338","0.995569706088162","2.50741093129551","82.90848451078","0.995569706088162","2.28640998036979","80.3293025602837","0.99570165098214"
5.125,"3.69152765350534","128.811601641736","0.763818615721172","3.34527420627997","106.043839962768","0.763818615721172","3.16280948152926","100.053602858719","0.763818615721172","2.42932405004649","84.4903309410199","0.999819548757035","2.29296607095805","80.0998921874887","0.999819533385999","2.13800997866802","75.1510708923756","0.999819533385999","3.18574770564388","118.328300275815","0.993179701983066","3.03824530728686","111.561274686412","0.993179701983066","2.85371120999883","105.260689380471","0.993179701983066","2.72213157632057","92.2691816353544","0.985285673863335","2.48777607510699","85.3962605858869","0.985285673863335","2.25577238700104","82.5850749472847","0.985660331370243"
5.25,"3.69371204650814","132.505313688244","0.670144122643586","3.35076765556466","109.394607618332","0.670144122643586","3.17010742856983","103.223710287289","0.670144122643586","2.36185796304658","86.8521889040665","0.999124798072287","2.23174327051599","82.3316354580047","0.999124733636512","2.08373738711921","77.2348082794948","0.999124733636512","3.15963535835857","121.487935634174","0.984572385183727","3.01457897364318","114.575853660056","0.984572385183727","2.83295187668859","108.093641257159","0.984572385183727","2.70932580624825","94.9785074416026","0.960759971530995","2.47838445127236","87.8746450371593","0.960759971530995","2.23807017481348","84.8231451220982","0.961598612343306"
